,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
2222,2018-09-05,WSM,596373752503.2993,14.744579984968492,295.39344357076783,0.0,42.0,0.0034297146667936936,2554148.333333333,3498.833333333333,106422.8472222222
2231,2018-09-06,WSM,596785488012.0165,14.726851583762812,294.7828478776999,1.0,43.0,0.0034971006595694502,2504932.1860465114,3431.413953488372,104372.17441860464
2240,2018-09-07,WSM,597793934097.4222,14.618593632634195,295.86173224706766,0.0,43.0,0.003483135929379645,2514975.062015503,3445.1713178294567,104790.62758397931
2249,2018-09-08,WSM,598336764885.7855,14.717854052494953,296.2813960196135,0.0,43.0,0.003469091026438597,2525157.1472868216,3459.1193798449613,105214.8811369509
2258,2018-09-09,WSM,598968891869.5812,14.703486027081533,296.536329588015,0.0,43.0,0.00345515893396294,2535339.2325581396,3473.0674418604654,105639.13468992249
2267,2018-09-10,WSM,580647579369.7646,15.104420629604823,279.682162234577,0.0,43.0,0.0034413382982270884,2545521.317829457,3487.015503875969,106063.38824289406
2276,2018-09-11,WSM,596750744154.8622,14.893984479841297,293.80728163836864,0.0,43.0,0.003427627787078773,2555703.403100775,3500.963565891473,106487.64179586564
2285,2018-09-12,WSM,595235816804.7134,14.652328495657748,294.18161683277964,0.0,43.0,0.0034140260895110007,2565885.4883720926,3514.9116279069763,106911.89534883719
2294,2018-09-13,WSM,598185234071.7643,14.671350598072234,295.37202415515037,0.0,43.0,0.0034005319152441587,2576067.5736434106,3528.8596899224804,107336.14890180877
2303,2018-09-14,WSM,593378438360.3225,14.895726192587338,294.1085889933203,0.0,43.0,0.0033871439943180003,2586249.6589147286,3542.8077519379844,107760.40245478036
2312,2018-09-15,WSM,597863272041.3324,14.818038620850592,294.8064403220161,1.0,44.0,0.0034523229621977176,2537421.9318181816,3475.9204545454545,105725.91382575757
2321,2018-09-16,WSM,594170320600.719,14.702158778447318,293.001404083543,0.0,44.0,0.0034390284570920407,2547231.0303030303,3489.357575757576,106134.62626262628
2330,2018-09-17,WSM,587812191285.2885,14.844389893425937,289.0387977487726,0.0,44.0,0.003425647023406858,2557181.1515151514,3502.987878787879,106549.21464646464
2339,2018-09-18,WSM,588865076227.9954,14.860386329866271,290.9563150074294,0.0,44.0,0.0034123693217657457,2567131.272727273,3516.618181818182,106963.80303030304
2348,2018-09-19,WSM,599488089274.511,14.805547288851853,296.92845238095236,2.0,46.0,0.0035537029756682937,2465034.3768115942,3376.759420289855,102709.76570048308
2357,2018-09-20,WSM,600946275566.2322,14.841325196163906,296.9768671897704,0.0,46.0,0.003540428443152179,2474276.8115942026,3389.420289855072,103094.86714975844
2366,2018-09-21,WSM,593109560846.1398,14.983046842695966,294.2768621891429,0.0,46.0,0.00352686358321673,2483793.260869565,3402.45652173913,103491.3858695652
2375,2018-09-22,WSM,605199297342.8859,14.939097078784302,300.0144585423429,0.0,46.0,0.0035134022718304064,2493309.7101449273,3415.492753623188,103887.90458937197
2384,2018-09-23,WSM,604639470878.4269,14.936112079990698,299.2094523892571,0.0,46.0,0.003500043327831051,2502826.15942029,3428.5289855072465,104284.42330917875
2393,2018-09-24,WSM,596173421873.0895,15.023103878363129,295.16255865059094,1.0,47.0,0.003562585274647531,2458888.5106382985,3368.3404255319156,102453.68794326243
2402,2018-09-25,WSM,599861780028.3219,14.914823529411764,297.6548823529412,0.0,47.0,0.0035493388517301456,2468065.283687943,3380.91134751773,102836.05348699763
2411,2018-09-26,WSM,592255890030.3923,14.58706617028942,291.5385492974661,0.0,47.0,0.003535995472588303,2477378.7375886524,3393.6695035460993,103224.11406619386
2420,2018-09-27,WSM,596055768244.1788,14.93400347035242,296.2331119487824,0.0,47.0,0.003522752043852017,2486692.1914893617,3406.4276595744677,103612.17464539007
2429,2018-09-28,WSM,595577367927.2952,14.634736274920673,294.1754774591391,1.0,48.0,0.003584279945538857,2444005.527777778,3347.9527777777785,101833.56365740742
2438,2018-09-29,WSM,613505933235.5513,14.576140958983247,304.1333911034084,1.0,49.0,0.0036455530452767773,2402927.591836734,3291.6816326530607,100121.98299319726
2447,2018-09-30,WSM,611863571720.5038,13.995836997947816,301.0866608032835,0.0,49.0,0.0036322529234076462,2411726.326530612,3303.734693877551,100488.59693877552
2456,2018-10-01,WSM,592524761588.1193,15.413919912830291,295.38563159686754,0.0,49.0,0.0036188497760887986,2420658.6462585037,3315.97074829932,100860.77692743765
2465,2018-10-02,WSM,599553931562.0262,14.7355901189387,298.9915212882762,0.0,49.0,0.0036055451813237663,2429590.965986395,3328.2068027210885,101232.95691609978
2474,2018-10-03,WSM,608281399661.3486,14.409805961926914,300.3649608227228,0.0,49.0,0.0035923380561174523,2438523.285714286,3340.442857142857,101605.13690476191
2483,2018-10-04,WSM,596152602439.4514,14.52076437894211,294.6875663523387,1.0,50.0,0.0036522727890662323,2398506.4933333327,3285.6253333333325,99937.77055555553
2492,2018-10-05,WSM,603547848806.5215,14.51946683199008,298.4087048174096,0.0,50.0,0.0036391941206797207,2407126.3333333335,3297.4333333333334,100296.93055555555
2501,2018-10-06,WSM,611968577578.9694,14.899084853389779,306.41096999128376,0.0,50.0,0.0036260086347352292,2415879.5199999996,3309.4239999999995,100661.64666666665
2510,2018-10-07,WSM,609837347667.7042,14.593818984547461,303.4187515329899,2.0,52.0,0.0037574350848895315,2331377.602564102,3193.667948717948,97140.73344017092
2519,2018-10-08,WSM,603481900594.7731,14.600142467054493,299.039534607622,0.0,52.0,0.003744335492460124,2339533.948717949,3204.841025641026,97480.5811965812
2528,2018-10-09,WSM,607909628591.8682,14.593902081501026,300.8817941952507,0.0,52.0,0.0037309149351394785,2347949.5384615385,3216.369230769231,97831.23076923078
2537,2018-10-10,WSM,609189713446.3959,14.720343596878593,302.968114714424,0.0,52.0,0.0037175902389425513,2356365.128205129,3227.8974358974365,98181.88034188036
2546,2018-10-11,WSM,611037543679.4263,14.613844527947393,303.77236965711603,0.0,52.0,0.0037043603804409768,2364780.717948718,3239.425641025641,98532.52991452992
2555,2018-10-12,WSM,620117194810.8661,14.422014105676958,307.2121632558677,0.0,52.0,0.0036912243507231006,2373196.307692308,3250.953846153847,98883.17948717951
2564,2018-10-13,WSM,606642977507.2803,14.600864723999052,299.9952615056566,0.0,52.0,0.003678181155137507,2381611.8974358975,3262.4820512820515,99233.82905982908
2573,2018-10-14,WSM,612176530433.1387,14.401924893717524,303.71423510657144,0.0,52.0,0.0036652298130419527,2390027.4871794875,3274.0102564102567,99584.47863247864
2582,2018-10-15,WSM,610310436251.4989,14.575848479501206,302.17309728267264,1.0,53.0,0.0037226072298183178,2353189.433962264,3223.547169811321,98049.55974842768
2591,2018-10-16,WSM,616983851752.1685,14.565812565812566,306.24107874107875,0.0,53.0,0.0037097974038417794,2361314.9308176097,3234.6779874213835,98388.12211740042
2600,2018-10-17,WSM,622365757919.5457,14.638541420816615,309.4454475718416,0.0,53.0,0.003696871280483446,2369571.2767295595,3245.988050314465,98732.1365303983
2609,2018-10-18,WSM,616685177013.783,14.50381769059086,305.59007342143906,0.0,53.0,0.003684034921870656,2377827.6226415094,3257.298113207547,99076.15094339622
2618,2018-10-19,WSM,610659604822.3851,14.441973094170404,302.2426307922272,0.0,53.0,0.0036712873961894424,2386083.968553459,3268.608176100629,99420.16535639412
2627,2018-10-20,WSM,623825906536.8298,14.5369288301975,308.8530357038509,0.0,53.0,0.0036586277844784442,2394340.3144654087,3279.9182389937105,99764.17976939204
2636,2018-10-21,WSM,615586293051.4331,14.536207914943887,305.885587714117,0.0,53.0,0.0036460551804080718,2402596.6603773586,3291.2283018867925,100108.19418238993
2645,2018-10-22,WSM,616937523271.5015,14.700802265219442,306.95280792826804,0.0,53.0,0.0036335686900642087,2410853.006289308,3302.538364779874,100452.20859538783
2654,2018-10-23,WSM,624160066507.6658,14.65709135314299,310.45054369948247,0.0,53.0,0.003621167431736344,2419109.352201258,3313.848427672956,100796.22300838574
2663,2018-10-24,WSM,625979473622.1359,14.660076753110827,311.9335387835795,0.0,53.0,0.0036088505357100295,2427365.6981132077,3325.1584905660384,101140.23742138366
2672,2018-10-25,WSM,630485312320.8265,14.402238849254683,313.17266979873557,0.0,53.0,0.0035966171440635552,2435622.044025157,3336.4685534591194,101484.25183438156
2681,2018-10-26,WSM,620859657523.0195,14.368312878031594,307.71738109219024,0.0,53.0,0.0035844664104687464,2443878.3899371065,3347.778616352201,101828.26624737945
2690,2018-10-27,WSM,631833968680.3743,14.357587638376383,314.12782518450183,0.0,53.0,0.0035723974999957876,2452134.7358490564,3359.088679245283,102172.28066037735
2699,2018-10-28,WSM,630411389798.567,14.387422181231265,313.0144108830989,0.0,53.0,0.003560409588921976,2460391.0817610063,3370.398742138365,102516.29507337527
2708,2018-10-29,WSM,619573221597.8588,14.660049336309175,307.66715611417834,0.0,53.0,0.0035485018645443106,2468647.4276729557,3381.7088050314464,102860.30948637315
2717,2018-10-30,WSM,633119639242.8607,14.598014598540146,314.7105401459854,2.0,55.0,0.0036701329032975587,2386834.5454545454,3269.6363636363635,99451.43939393939
2726,2018-10-31,WSM,631034199727.9247,14.632054440924557,313.9050803707615,0.0,55.0,0.003658346637951725,2394524.3212121213,3280.170303030303,99771.84671717172
2735,2018-11-01,WSM,637489206554.6678,14.555343401029914,317.3642307469768,0.0,55.0,0.0036462329073624813,2402479.5515151513,3291.0678787878783,100103.31464646464
2744,2018-11-02,WSM,628554274617.9669,14.670386772955418,312.9672276350753,0.0,55.0,0.0036341991353909873,2410434.7818181817,3301.9654545454546,100434.78257575758
2753,2018-11-03,WSM,632270021453.0538,14.607001857872735,313.81961216906643,0.0,55.0,0.003622244532971939,2418390.0121212117,3312.8630303030295,100766.25050505048
2762,2018-11-04,WSM,632849771764.88,14.497582289542674,313.5170123514332,0.0,55.0,0.0036103683213884238,2426345.242424242,3323.760606060606,101097.71843434343
2771,2018-11-05,WSM,623632833870.1296,14.652940480416518,310.3479469885221,0.0,55.0,0.003598569732102841,2434300.4727272727,3334.6581818181817,101429.18636363636
2780,2018-11-06,WSM,625824552214.211,14.838734522187334,312.3164286983826,0.0,55.0,0.0035868480065911054,2442255.7030303027,3345.555757575757,101760.65429292928
2789,2018-11-07,WSM,626982865575.7236,14.748592759376667,313.0302186407537,0.0,55.0,0.003575202396180095,2450210.9333333336,3356.4533333333334,102092.12222222223
2798,2018-11-08,WSM,626816919545.0273,14.696779168396702,311.6495640310813,0.0,55.0,0.00356363216188825,2458166.1636363636,3367.350909090909,102423.59015151515
