,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs,MTTFTest_SSDs
4113,2019-04-07,none,684882647185.8068,9.65136690647482,439.1688489208633,0.0,174.0,0.009175521396366704,954714.1379310346,1307.8275862068965,39779.75574712644,2.6436781609195403
4122,2019-04-08,none,694039852986.4988,9.846532110091744,445.0398532110092,0.0,174.0,0.009155617879237927,956789.6034482758,1310.6706896551723,39866.23347701149,2.6494252873563218
4131,2019-04-09,none,692368415422.3301,10.003891907769129,444.767440152739,0.0,174.0,0.00913580052452096,958865.0689655172,1313.5137931034483,39952.71120689655,2.6551724137931036
4140,2019-04-10,none,695873587616.0793,9.7708976054062,446.91780520052885,2.0,176.0,0.009220851173628366,950020.7556818182,1301.3982954545454,39584.19815340909,2.6306818181818183
4149,2019-04-11,none,699389922538.3531,9.72802238256516,449.87166838462673,0.0,176.0,0.009202218757189233,951944.3333333334,1304.0333333333333,39664.347222222226,2.6363636363636362
4158,2019-04-12,none,714385253903.0311,10.219808403107793,458.7040585395293,0.0,176.0,0.009182429039431837,953995.9375,1306.84375,39749.83072916667,2.6420454545454546
4167,2019-04-13,none,709638649326.6635,10.033059735522116,456.4642802857577,0.0,176.0,0.009162724256085416,956047.5416666669,1309.654166666667,39835.31423611112,2.647727272727273
4176,2019-04-14,none,704375216865.7642,9.927208166888594,453.63379448102387,0.0,176.0,0.009143103861532772,958099.1458333333,1312.4645833333334,39920.797743055555,2.653409090909091
4185,2019-04-15,none,712984058809.1263,10.157508059074893,459.11125271759505,0.0,176.0,0.009123567314820094,960150.75,1315.275,40006.28125,2.659090909090909
4194,2019-04-16,none,714710485134.2998,10.150884027569674,459.77824393167515,14.0,190.0,0.009828304972303291,891303.2333333333,1220.9633333333334,37137.63472222222,2.468421052631579
4203,2019-04-17,none,713447900709.2693,9.828026445778555,460.1389817629179,0.0,190.0,0.009816655304797101,892360.9649122807,1222.4122807017543,37181.70687134503,2.473684210526316
4212,2019-04-18,none,692856865129.7894,9.83642483171279,443.8185489902767,0.0,190.0,0.00979581314916059,894259.6052631577,1225.0131578947367,37260.81688596491,2.4789473684210526
4221,2019-04-19,none,703701745825.0371,9.922819280617446,453.7799621377603,1.0,191.0,0.009826506988309945,891466.3176265269,1221.1867364746945,37144.429901105286,2.4712041884816753
4230,2019-04-20,none,716966890595.1971,10.117056856187292,462.02081010776664,0.0,191.0,0.009806393608901169,893294.757417103,1223.6914485165796,37220.61489237929,2.4764397905759163
4239,2019-04-21,none,709949548661.6628,10.068040780141844,458.6931146572104,0.0,191.0,0.009785705014789564,895183.3298429319,1226.2785340314138,37299.305410122164,2.481675392670157
4248,2019-04-22,none,711021638313.743,9.860553963705826,459.17515245022406,0.0,191.0,0.009765103530547901,897071.902268761,1228.865619546248,37377.99592786504,2.486910994764398
4257,2019-04-23,none,707300353607.7805,9.797679371374018,456.5869134170522,0.0,191.0,0.009744588607164397,898960.47469459,1231.4527050610823,37456.68644560792,2.492146596858639
4266,2019-04-24,none,732680812687.4076,10.02491719361638,472.9491869918699,0.0,191.0,0.009724159700231138,900849.047120419,1234.0397905759164,37535.37696335079,2.4973821989528795
4275,2019-04-25,none,718647641373.5837,10.04207263064659,464.22200900435456,0.0,191.0,0.009703816269895927,902737.6195462479,1236.6268760907506,37614.06748109366,2.5026178010471205
4284,2019-04-26,none,708164242536.1985,9.926836363636363,457.06407272727273,0.0,191.0,0.009683557780814724,904626.1919720769,1239.213961605585,37692.75799883654,2.507853403141361
4293,2019-04-27,none,717384217958.8347,9.915326744357575,463.8089688744653,0.0,191.0,0.009663383702104695,906514.7643979058,1241.8010471204188,37771.44851657941,2.513089005235602
4302,2019-04-28,none,708950669307.6716,9.838686342592593,458.54325810185185,0.0,191.0,0.009643293507297823,908403.3368237349,1244.3881326352532,37850.13903432229,2.518324607329843
4311,2019-04-29,none,722212505580.6323,9.962304201434636,466.36707656272876,1.0,192.0,0.009673670374160552,905550.8055555555,1240.4805555555554,37731.28356481481,2.5104166666666665
4320,2019-04-30,none,716562180460.5317,10.046879599646747,463.7600088313217,0.0,192.0,0.009654293332126546,907368.328125,1242.9703125,37807.013671875,2.515625
4329,2019-05-01,none,709419457830.4178,9.792626066996629,458.6739832149774,0.0,192.0,0.0096343464450767,909246.9374999999,1245.5437499999998,37885.28906249999,2.5208333333333335
4338,2019-05-02,none,720685917708.6208,9.831334113516677,465.7745757753072,0.0,192.0,0.00961448181323118,911125.546875,1248.1171875,37963.564453125,2.5260416666666665
