,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
4495,2019-05-20,RM,928217963912.8594,10.410988336402701,645.287753222836,0.0,96.0,0.008676316893436703,1009645.0034722221,1383.0753472222223,42068.54181134259
4504,2019-05-21,RM,922386264973.9283,10.466819571865443,641.4597859327217,0.0,96.0,0.008659101978965598,1011652.25,1385.825,42152.17708333333
4513,2019-05-22,RM,913826382820.7701,10.211952431130513,634.8709725986149,0.0,96.0,0.008641955242373588,1013659.4965277776,1388.5746527777776,42235.812355324066
4522,2019-05-23,RM,907082198020.9193,10.129974660903263,630.7791026978686,1.0,97.0,0.008714718740688203,1005195.9518900344,1376.9807560137458,41883.16466208477
4531,2019-05-24,RM,906678479109.4027,10.264544781643227,630.5706248149245,0.0,97.0,0.008698628396687348,1007055.3195876288,1379.5278350515462,41960.6383161512
4540,2019-05-25,RM,914303642044.3947,10.062218214607755,636.704989480012,0.0,97.0,0.008681505112441899,1009041.6219931273,1382.2487972508593,42043.400916380306
4549,2019-05-26,RM,930771757072.3643,10.54555133079848,648.0644866920152,0.0,97.0,0.008664449110256356,1011027.9243986254,1384.9697594501718,42126.16351660939
4558,2019-05-27,RM,933531046928.5745,10.564833155569099,650.8576870333688,1.0,98.0,0.008736609066460635,1002677.3469387753,1373.5306122448976,41778.222789115636
4567,2019-05-28,RM,918478111019.0065,10.069784930064671,639.9666064981949,0.0,98.0,0.008720613349805603,1004516.5,1376.05,41854.854166666664
4576,2019-05-29,RM,939806679482.3112,10.330678511257467,655.3221013937816,0.0,98.0,0.008703580901856764,1006482.2857142858,1378.7428571428572,41936.76190476191
4585,2019-05-30,RM,917170648522.9235,10.304205676920791,638.9887056026156,0.0,98.0,0.008686614857213767,1008448.0714285715,1381.4357142857143,42018.669642857145
4594,2019-05-31,RM,936438616411.6621,10.215746109246261,653.4033882783883,0.0,98.0,0.008669714828308684,1010413.857142857,1384.1285714285714,42100.577380952374
4603,2019-06-01,RM,947514786809.9077,10.451086119242028,661.5325835772608,0.0,98.0,0.008652880430583812,1012379.6428571428,1386.8214285714287,42182.48511904762
4612,2019-06-02,RM,920907674627.0798,9.99313432835821,642.6848783400508,0.0,98.0,0.008636111282462526,1014345.4285714285,1389.5142857142857,42264.392857142855
