_id,disk_id,failure_time,model_x,model_y,app,node_id,rack_id,machine_room_id
{'$oid': '6266c2f1718b63c8dff9a403'},46424.0,1566379316000,MC1,C1,none,55560.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a404'},113803.0,1566379321000,MC1,C1,none,135708.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a405'},8164.0,1566379322000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a406'},135949.0,1566379326000,MC1,C1,none,161736.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a407'},113798.0,1566379329000,MC1,C1,none,135708.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a408'},46430.0,1566379331000,MC1,C1,none,55560.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a409'},65295.0,1566379332000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a40a'},149649.0,1566379332000,MC1,C1,none,177809.0,18246.0,506.0
{'$oid': '6266c2f1718b63c8dff9a40b'},65293.0,1566379333000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a40c'},46431.0,1566379339000,MC1,C1,none,55560.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a40d'},73299.0,1566379341000,MC1,C1,none,87753.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a40e'},46423.0,1566379343000,MC1,C1,none,55560.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a40f'},73300.0,1566379346000,MC1,C1,none,87753.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a410'},82860.0,1566379350000,MC1,C1,none,99416.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a411'},135952.0,1566379352000,MC1,C1,none,161736.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a412'},82854.0,1566379354000,MC1,C1,none,99416.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a413'},65294.0,1566379355000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a414'},8178.0,1566379359000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a415'},8176.0,1566379364000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a416'},79752.0,1566379364000,MC1,C1,none,95782.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a417'},135959.0,1566379365000,MC1,C1,none,161736.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a418'},135956.0,1566379366000,MC1,C1,none,161736.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a419'},8160.0,1566379367000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a41a'},135945.0,1566379368000,MC1,C1,none,161702.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a41b'},79757.0,1566379368000,MC1,C1,none,95782.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a41c'},82862.0,1566379370000,MC1,C1,none,99416.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a41d'},79749.0,1566379374000,MC1,C1,none,95782.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a41e'},135946.0,1566379378000,MC1,C1,none,161702.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a41f'},46426.0,1566379380000,MC1,C1,none,55560.0,2530.0,344.0
