,disk_id,failure_time,model_y,app
291,43821.0,2019-04-20 02:13:48,B2,RM
292,43823.0,2019-04-20 02:13:55,B2,RM
293,43829.0,2019-04-20 02:13:48,B2,RM
294,43828.0,2019-04-20 02:13:48,B2,RM
295,43820.0,2019-04-20 02:13:48,B2,RM
296,43827.0,2019-04-20 02:13:48,B2,RM
297,43822.0,2019-04-20 02:13:55,B2,RM
298,22975.0,2018-05-30 01:26:08,B2,none
299,26428.0,2019-06-23 09:09:00,B2,WSM
300,5857.0,2019-12-10 00:38:04,B2,none
301,7801.0,2018-10-12 05:07:36,B2,none
302,29534.0,2019-08-12 19:51:45,B2,none
303,38498.0,2019-05-25 06:13:38,B2,none
304,21473.0,2019-08-27 13:56:23,B2,none
305,3824.0,2019-07-15 03:23:28,B2,WSM
306,34290.0,2019-10-01 08:48:09,B2,none
307,16037.0,2019-04-18 01:39:15,B2,RM
308,34262.0,2019-04-18 11:00:12,B2,RM
309,9321.0,2018-03-24 22:50:48,B2,none
310,7552.0,2018-06-28 10:10:53,B2,WSM
311,41176.0,2019-05-27 09:19:30,B2,RM
312,24745.0,2018-02-28 20:21:28,B2,RM
313,3462.0,2018-08-17 08:55:15,B2,RM
314,47748.0,2019-09-16 10:56:05,B2,RM
315,8045.0,2018-04-21 20:18:37,B2,RM
316,40228.0,2019-04-06 03:46:32,B2,none
317,12279.0,2019-04-18 10:54:33,B2,RM
318,45699.0,2018-08-25 21:43:24,B2,RM
319,32897.0,2018-11-26 12:54:25,B2,RM
320,10351.0,2019-03-09 06:55:46,B2,RM
321,1501.0,2019-04-19 14:13:58,B2,none
322,15281.0,2018-05-18 10:26:02,B2,none
323,7400.0,2018-05-29 21:01:21,B2,RM
324,46333.0,2018-11-13 09:53:40,B2,none
325,14501.0,2018-12-12 11:03:26,B2,none
326,21526.0,2018-07-24 08:14:29,B2,none
327,24556.0,2019-08-30 09:03:14,B2,none
328,21500.0,2019-12-21 19:18:01,B2,none
329,9543.0,2019-04-16 16:34:45,B2,none
330,18860.0,2018-06-14 08:12:50,B2,none
331,44639.0,2018-05-24 19:32:34,B2,none
332,25096.0,2018-08-26 15:52:24,B2,RM
333,23190.0,2019-03-08 09:54:17,B2,none
334,1421.0,2019-05-31 20:24:06,B2,none
335,25802.0,2018-04-22 11:43:37,B2,RM
336,30336.0,2019-05-12 11:20:36,B2,WSM
337,40866.0,2019-04-14 23:18:33,B2,WSM
338,17745.0,2019-09-13 03:32:04,B2,none
339,19121.0,2018-08-23 19:22:25,B2,none
340,6484.0,2019-11-17 03:42:04,B2,none
341,34416.0,2019-09-16 07:34:46,B2,WSM
